DR0,Alyssa,Montgomery,Neurology,29,DR0rdrake@example.net,367.769.0552x28900,1.404433085242665,
DR1,Danielle,Gordon,Cardiology,7,DR1ocampbell@example.com,001-795-460-4793x6701,3.968394426542141,
DR2,Paul,PhD,Neurology,16,DR2jerrystein@example.com,809-225-6574x725302,3.42035064941116,
DR3,Brian,Brady,Pediatrics,29,DR3williamburke@example.org,735.599.9407x28003,3.601647848393357,
DR4,David,Stewart,Cardiology,31,DR4wilsonjessica@example.org,882.586.4510x42554,1.511931939091348,
DR5,Christine,Mora,Cardiology,24,DR5reginald62@example.org,+1-808-808-08645,2.00033827532996,
DR6,Jocelyn,Wilson,Pediatrics,28,DR6samuel94@example.com,+1-966-630-1295x24556,0.4749749564403766,
DR7,Michael,Mason,Radiology,16,DR7ashley41@example.com,912.896.16717,4.644591931393384,
DR8,Rhonda,Murray,Cardiology,36,DR8melissastephens@example.net,(972)755-8844x8418,4.26975095425554,
DR9,Tyler,Brown,Radiology,13,DR9kmoreno@example.org,(244)454-6501x5889,2.808695902613676,
DR10,James,Douglas,Cardiology,4,DR10nperez@example.org,001-715-326-182910,2.796740173741302,
DR11,Victoria,Taylor,Cardiology,19,DR11zgordon@example.org,(287)200-7751x37711,4.292608940568051,
DR12,Jamie,Howard,Cardiology,24,DR12qjohnson@example.org,(957)824-925112,4.668628827071103,
DR13,Erika,King,Radiology,1,DR13cooperjonathan@example.net,+1-773-503-7328x26213,3.161196598271888,
DR14,Jessica,Campbell,Orthopedics,22,DR14carloswhite@example.org,604-207-4393x326314,3.787474303148839,
DR15,Andre,Bolton,Radiology,29,DR15walkerfelicia@example.com,577.574.7647x766515,3.580513852532068,
DR16,Ray,Cummings,Neurology,23,DR16hernandezchristy@example.org,001-696-605-5890x911716,0.1798362452139118,
DR17,Ashley,Harrington,Neurology,15,DR17imartinez@example.com,729.711.835517,3.229488856902015,
DR18,Janet,Hines,Radiology,10,DR18lisawallace@example.com,753.852.8911x87518,1.017176776097246,
DR19,Derek,Ramos,Cardiology,34,DR19santanatimothy@example.com,527953749719,0.1255000205855145,
DR20,Laura,Garcia,Orthopedics,40,DR20nlong@example.org,720-446-523920,3.002035936970273,
DR21,Stephanie,Johnson,Radiology,30,DR21clarkmegan@example.com,795-399-090321,1.139954418468135,
DR22,Martin,Rhodes,Cardiology,2,DR22samuelprice@example.com,+1-838-371-894622,1.583495477427825,
DR23,Michelle,Mendoza,Radiology,25,DR23heidivega@example.com,001-355-269-9751x90323,4.801621786631801,
DR24,Christopher,Bridges,Orthopedics,20,DR24frankjustin@example.net,510.556.284424,0.5711259074659186,
DR25,David,Simmons,Neurology,24,DR25townsendtiffany@example.net,314.416.069125,2.88679956127307,
DR26,Sabrina,Lawson,Pediatrics,17,DR26mwatson@example.net,700.534.6814x44626,1.789643766234088,
DR27,Marc,Livingston,Orthopedics,14,DR27brownsusan@example.com,(807)870-617227,2.782576158900798,
DR28,Darren,Washington,Pediatrics,27,DR28castillotina@example.net,(386)420-248328,4.946361781747896,
DR29,Robert,Giles,Radiology,35,DR29stevenramirez@example.net,331.403.237129,4.390425949561108,
DR30,Ms.,MD,Radiology,20,DR30reneetyler@example.com,(466)751-1142x52330,3.303380620549015,
DR31,Elaine,Hunter,Orthopedics,15,DR31cbell@example.org,(340)689-7455x925731,1.231598732009271,
DR32,Michael,Murray,Cardiology,26,DR32stacy24@example.net,590528544032,3.186310151307462,
DR33,John,Odom,Radiology,36,DR33lgill@example.com,+1-843-797-399833,1.550100089463107,
DR34,Matthew,Williams,Orthopedics,9,DR34gutierrezzachary@example.net,241.794.0911x557634,3.648401763741492,
DR35,Katrina,Allen,Pediatrics,10,DR35jasmine42@example.org,+1-542-410-4139x301435,0.3872028635587971,
DR36,Stephen,Williams,Pediatrics,14,DR36mary19@example.com,(637)938-3107x53736,4.145116556855364,
DR37,Jennifer,Wise,Orthopedics,16,DR37donna59@example.net,+1-372-871-646537,1.209035663138717,
DR38,Isabella,Bennett,Pediatrics,6,DR38debrastevens@example.com,(719)820-469438,0.002662752509922095,
DR39,Susan,Baird,Cardiology,9,DR39dmarks@example.net,937.561.480739,0.4618612258153804,
DR40,John,Smith,Radiology,7,DR40debramurray@example.org,492-642-0737x63040,2.775272048926026,
DR41,Richard,Edwards,Cardiology,24,DR41jimmy97@example.org,569.520.3923x01541,3.144063578677303,
DR42,Luke,Holden,Radiology,27,DR42francesnolan@example.org,001-476-487-3939x35942,3.347938640488974,
DR43,Donald,Taylor,Cardiology,33,DR43diane79@example.net,001-962-973-4576x02143,1.659147359123206,
DR44,Matthew,Brewer,Neurology,16,DR44bthomas@example.org,702-582-0326x3874244,4.677250692735254,
DR45,Alyssa,Shannon,Radiology,40,DR45kelleywendy@example.com,631.278.9635x71345,0.5898179912187157,
DR46,James,Hill,Radiology,13,DR46ortegatiffany@example.com,858-822-1611x792046,4.620531400661424,
DR47,Dr.,PhD,Radiology,32,DR47tperez@example.org,001-629-488-0294x79147,3.930030136958393,
DR48,Susan,White,Neurology,23,DR48njohnson@example.com,999-219-3172x979948,4.418640520781037,
DR49,Matthew,Bullock,Radiology,27,DR49deborah50@example.net,547.959.2657x79049,1.031944396885278,
DR50,Brittany,Moreno,Cardiology,17,DR50uwall@example.net,281.233.2227x5088050,3.556644336769172,
DR51,Stephen,Anderson,Pediatrics,39,DR51michaelcampbell@example.net,(279)943-1677x398851,1.472918214107172,
DR52,Margaret,Davis,Neurology,24,DR52randall87@example.net,(699)944-777652,3.543625997186479,
DR53,Tamara,Pena,Neurology,30,DR53harrisryan@example.com,+1-473-301-574353,2.213863514344633,
DR54,Paige,Guerrero,Orthopedics,33,DR54juliepayne@example.com,968.378.7455x4229254,4.666389026129635,
DR55,Ashley,Douglas,Neurology,3,DR55bmccann@example.org,956.427.7987x9016355,0.01422158946249918,
DR56,Daniel,Rodgers,Radiology,31,DR56wfrey@example.com,(844)728-581856,2.319883708295282,
DR57,Robert,Wilson,Cardiology,22,DR57maynardkevin@example.net,291.939.748257,1.996532326439021,
DR58,Erica,Olsen,Radiology,20,DR58grantbrandy@example.net,296.813.0519x30558,4.859996884021641,
DR59,Jeremy,Fields,Cardiology,11,DR59cobbbrian@example.org,339-782-8342x0767559,4.49673638483867,
DR60,Richard,Williams,Neurology,22,DR60michaelgoodwin@example.com,(282)396-7418x13360,1.128114220163156,
DR61,Jamie,Wagner,Radiology,5,DR61james44@example.org,(815)454-3681x738061,2.041443417329077,
DR62,David,Moore,Orthopedics,40,DR62eroberts@example.org,782.791.7476x60662,0.7019016950369705,
DR63,Amber,Powell,Orthopedics,40,DR63afranklin@example.net,628-247-9069x3177463,0.01862167918288193,
DR64,Lauren,Jackson,Neurology,18,DR64elong@example.org,+1-362-454-112364,2.578644277728821,
DR65,Megan,Burke,Neurology,21,DR65victoria94@example.org,924.771.3755x0776765,3.537578138746367,
DR66,Daniel,Hayes,Pediatrics,7,DR66christy06@example.org,(776)683-0050x2231966,1.613113026821569,
DR67,Tracy,Boyd,Orthopedics,24,DR67harrellmatthew@example.net,(806)532-0952x1113567,3.164774206738791,
DR68,James,Burke,Orthopedics,13,DR68stricklandpaul@example.com,912-666-5548x368468,3.131002165530553,
DR69,Craig,Brown,Cardiology,29,DR69thomasnathaniel@example.net,001-943-229-2957x16569,0.1616940827683799,
DR70,Pamela,Gross,Pediatrics,14,DR70uellis@example.net,(718)232-5358x67870,4.205608984905624,
DR71,Vincent,Rogers,Orthopedics,4,DR71kimberlyhicks@example.org,201-675-246671,2.19087988271422,
DR72,Michael,Todd,Cardiology,5,DR72yjames@example.com,(770)768-4952x88272,2.84617729382775,
DR73,Melissa,MD,Pediatrics,7,DR73ksmith@example.com,001-299-250-786473,1.836393941341498,
DR74,Diana,Rodriguez,Radiology,14,DR74turnerdouglas@example.net,+1-379-805-2107x090874,1.764833304098921,
DR75,Lisa,Gibson,Pediatrics,25,DR75ijohnson@example.com,001-679-552-1969x313475,0.03172690069958795,
DR76,Donna,Cook,Cardiology,40,DR76garciaeric@example.org,378.904.172076,3.993052184878696,
DR77,Erica,Martin,Neurology,32,DR77megan04@example.net,778.427.746177,3.868665717918503,
DR78,Mark,Bennett,Cardiology,33,DR78vanessa54@example.com,001-640-957-793378,0.4196260015403214,
DR79,Kathleen,Gates,Cardiology,14,DR79qpeterson@example.com,001-417-713-0359x8242179,0.5720536452878311,
DR80,Chelsey,Owens,Radiology,21,DR80peckamy@example.net,(997)888-045380,2.360337679300434,
DR81,Laura,Craig,Pediatrics,36,DR81qwoods@example.net,(629)563-910681,2.787333905662673,
DR82,Shawn,Cook,Pediatrics,27,DR82dennis36@example.org,446-476-885382,1.974886918610934,
DR83,Joseph,Smith,Radiology,20,DR83john06@example.org,+1-514-590-7489x891583,1.798004218762468,
DR84,Michael,Mitchell,Pediatrics,9,DR84kylie95@example.com,001-974-551-7371x30784,4.289855636300373,
DR85,Jacob,Ware,Orthopedics,27,DR85randallchad@example.net,761943559585,0.1651852376380403,
DR86,Justin,Hansen,Cardiology,18,DR86abigailwatson@example.org,001-259-309-4276x858886,4.721475858904403,
DR87,Judith,Jordan,Cardiology,33,DR87alexis96@example.org,+1-724-393-5876x44887,4.654492029648186,
DR88,Mrs.,Steele,Orthopedics,40,DR88jrodriguez@example.net,581275951788,4.287307070523614,
DR89,Tina,Diaz,Radiology,8,DR89andrewalvarado@example.org,001-354-406-6237x85389,2.594918608654152,
DR90,Lauren,Larsen,Cardiology,21,DR90patrickdelacruz@example.com,613.361.375390,1.767014820991512,
DR91,Stephen,Schultz,Orthopedics,26,DR91pgonzalez@example.org,594.539.910191,0.760226017927283,
DR92,Katherine,Garcia,Radiology,5,DR92tburke@example.com,001-768-769-4276x87092,3.37171358805666,
DR93,Timothy,Kirby,Orthopedics,22,DR93rgreen@example.com,+1-550-623-6338x50693,3.887843017617007,
DR94,Marissa,Davis,Orthopedics,11,DR94christopher86@example.com,(646)976-0898x58094,2.997736363489274,
DR95,Jennifer,Stokes,Radiology,33,DR95troybowen@example.net,+1-657-453-8824x249595,4.456001506457594,
DR96,Andrew,Johnson,Radiology,6,DR96marissakim@example.net,786339505196,3.520485575928963,
DR97,Shannon,Butler,Cardiology,20,DR97thomas92@example.com,685-656-8335x7986997,3.624366748937309,
DR98,Tiffany,DDS,Radiology,10,DR98kimberlysmith@example.net,+1-881-774-326098,4.936106816718243,
DR99,Stephanie,Munoz,Radiology,8,DR99carterkaren@example.net,(430)318-3047x342999,4.893250819286473,
DR100,Michael,Diaz,Orthopedics,36,DR100michael54@example.net,001-531-765-1746x612100,3.00885144321293,
DR101,Emily,Mcintosh,Radiology,33,DR101benjaminanderson@example.net,(858)211-4325x337101,2.463085386490619,
DR102,Sheena,Baker,Neurology,27,DR102wisemiguel@example.net,001-474-999-5726102,1.272817269153628,
DR103,Shelia,Wells,Cardiology,33,DR103melissamoore@example.com,865-985-2062x866103,3.396451920963648,
DR104,Jessica,Brooks,Radiology,18,DR104haydenalexandra@example.org,(959)348-5517x404104,0.2186500267005131,
DR105,James,Jr.,Orthopedics,28,DR105whitedonald@example.net,808.625.9871x0538105,1.241331020454439,
DR106,Daniel,Haley,Neurology,33,DR106lauranielsen@example.org,001-341-974-9606x67830106,0.5854620209937644,
DR107,Troy,Barrera,Radiology,28,DR107debra05@example.org,224-899-9857x365107,0.334171450004786,
DR108,Amber,Wright,Cardiology,32,DR108moorecharles@example.com,+1-522-829-4165x42543108,3.252044646167222,
DR109,Alan,Baxter,Cardiology,19,DR109ericksontyler@example.com,330-743-6370x0779109,1.504483850910061,
DR110,Wendy,Lee,Orthopedics,30,DR110npayne@example.com,001-447-354-5761x462110,4.973563279081024,
DR111,Stephanie,Brock,Orthopedics,17,DR111michael27@example.org,707.841.5476x7710111,0.6847067519863742,
DR112,Alicia,Hill,Neurology,11,DR112rayshelby@example.net,(730)374-0009112,0.02069758627376961,
DR113,Lauren,Ayala,Orthopedics,1,DR113robertfuentes@example.net,(747)311-6116x24999113,1.373664682020321,
DR114,Sandra,Hogan,Cardiology,29,DR114matthewquinn@example.net,001-890-565-2889x8328114,4.716359821259827,
DR115,Eduardo,Anderson,Radiology,12,DR115sandra29@example.net,770-996-7787115,0.8542701354652604,
DR116,Michelle,Bennett,Radiology,23,DR116djackson@example.org,(925)995-9328116,1.394374741541961,
DR117,Tim,Lin,Radiology,7,DR117gainesjohnny@example.com,+1-291-901-0254x685117,0.9592483459335749,
DR118,Tonya,Figueroa,Radiology,38,DR118robert36@example.org,795.619.9919118,0.4890966534108981,
DR119,Jimmy,Jenkins,Pediatrics,38,DR119ralph95@example.org,001-637-457-3925x9602119,3.895772357469863,
DR120,Stephanie,Williams,Radiology,12,DR120thomasthompson@example.com,3924922510120,0.1818247806272683,
DR121,William,Walters,Orthopedics,25,DR121michaelthompson@example.net,5307174506121,0.7588581715525128,
DR122,Emily,French,Cardiology,28,DR122rayteresa@example.com,6622085180122,0.09651829717987226,
DR123,Hunter,Oneill,Orthopedics,20,DR123davidwilson@example.org,760-361-5857x920123,2.130851593016811,
DR124,Travis,Roberts,Orthopedics,25,DR124halljason@example.com,882-941-3478x056124,2.518770261911063,
DR125,Scott,Bartlett,Neurology,5,DR125powelljoshua@example.org,822.266.3189125,2.549359880719156,
DR126,Cody,Barnes,Orthopedics,15,DR126todd64@example.org,8488908650126,1.377446700228295,
DR127,Kenneth,Riley,Orthopedics,31,DR127williamseric@example.net,001-988-438-0659x2940127,4.432151090965576,
DR128,Sara,Petersen,Orthopedics,21,DR128wagnerricardo@example.com,576-996-0732x2915128,3.489012363363337,
DR129,Tami,Williams,Radiology,8,DR129kaiservictor@example.org,+1-812-577-4791x15774129,4.663031909134404,
DR130,Dwayne,Brooks,Pediatrics,4,DR130linmelissa@example.net,+1-395-669-6119x247130,1.202240414909415,
DR131,Christine,Blevins,Cardiology,34,DR131eayala@example.com,440-740-5660131,3.531628072674511,
DR132,John,Brown,Orthopedics,4,DR132yhaney@example.net,+1-521-975-9619132,1.988698412450587,
DR133,Kenneth,Torres,Pediatrics,9,DR133carlaclarke@example.com,384-484-5142133,2.054404704637165,
DR134,Tonya,Lozano,Pediatrics,20,DR134markhall@example.org,713.209.1407134,2.327742694903721,
DR135,Brad,Baxter,Cardiology,12,DR135npaul@example.net,(327)859-9654x370135,0.03300298040325278,
DR136,Lauren,Frank,Cardiology,38,DR136mmiranda@example.org,(371)774-2040136,3.545547679365038,
DR137,Joyce,Lyons,Cardiology,9,DR137ascott@example.net,+1-737-331-4939x52948137,0.3852435771344115,
DR138,Joshua,Evans,Orthopedics,4,DR138bob11@example.com,(803)291-2495x02349138,3.372600422949614,
DR139,Christopher,Harris,Neurology,37,DR139tranchristine@example.org,+1-558-886-4032x28602139,0.8644846198165346,
DR140,Anne,Perez,Neurology,20,DR140singletondaniel@example.com,611-654-6929140,2.911371822849455,
DR141,Marc,Fritz,Radiology,38,DR141tranamanda@example.org,337-633-7800x67705141,3.93540310990087,
DR142,Krystal,Caldwell,Pediatrics,25,DR142bellashley@example.com,314.626.3809142,1.684146518521892,
DR143,Adam,Roberts,Pediatrics,3,DR143davislogan@example.com,001-826-312-5231x63430143,4.762089743910901,
DR144,Brandon,Reynolds,Orthopedics,1,DR144thomasvargas@example.net,947-331-2876x6297144,0.2844755845863384,
